isin,name,ticker,vehicle,asset_class,category,benchmark,region,sector,perf_1y,perf_3y,volatility,sharpe,sortino,max_drawdown,ter,aum_m,qualitative_score,diversification_score,liquidity_score,rating,duration,tracking_error,tracking_difference,irr,tvpi,dpi,vintage,distribution_rate,occupancy_rate,coupon,barrier,autocall
IE00B4K48X80,iShares Euro Corp Bond,IEAC.L,ETF,Bonds,EUR Corporate,Bloomberg Euro Corp,Europe,Fixed Income,0.011,-0.001,0.046,0.35,0.54,-0.08,0.002,10000,83,86,91,A,4.6,0.0017,-0.0009,,,,,,,,,
FR0013346464,Amundi Euro Corporate Bond,CC4.PA,ETF,Bonds,EUR Corporate,Bloomberg Euro Corp,Europe,Fixed Income,0.042,0.026,0.077,0.3,0.39,-0.106,0.0016,3200,80,85,83,A-,4.9,0.0018,-0.0015,,,,,,,,,
IE00B1FZSC47,iShares Global Govt Bond,IGLO.L,ETF,Bonds,Global Government,FTSE World Govt,Global,Fixed Income,0.04,0.027,0.069,0.22,0.32,-0.149,0.002,3000,81,90,87,AA,8.2,0.0014,-0.0015,,,,,,,,,
LU0290358497,Xtrackers Global Government Bond,XGGB.DE,ETF,Bonds,Global Government,FTSE World Govt,Global,Fixed Income,0.021,0.019,0.055,0.56,0.68,-0.105,0.0025,1900,78,89,79,AA-,8.5,0.0015,-0.0018,,,,,,,,,
IE00B4WXJJ64,iShares Core EUR Govt Bond,IEGA.L,ETF,Bonds,EUR Government,ICE Euro Govt,Europe,Fixed Income,0.05,0.031,0.045,0.24,0.3,-0.12,0.0009,6000,82,88,89,AA,7.9,0.002,-0.0017,,,,,,,,,
FR0013346472,Amundi Euro Government Bond,GOVE.PA,ETF,Bonds,EUR Government,ICE Euro Govt,Europe,Fixed Income,0.04,0.03,0.06,0.19,0.23,-0.095,0.0014,2100,79,87,81,AA-,7.4,0.0007,-0.001,,,,,,,,,
IE00B66F4759,iShares Global High Yield Corp Bond,GHYS.L,ETF,Bonds,Global High Yield,Markit iBoxx Global HY,Global,Fixed Income,0.019,0.017,0.072,0.24,0.31,-0.04,0.005,1500,71,74,77,BB,3.8,0.0011,-0.0016,,,,,,,,,
IE00B66F4667,iShares Euro High Yield,IHYG.L,ETF,Bonds,Global High Yield,Markit iBoxx Euro HY,Europe,Fixed Income,0.012,-0.003,0.039,0.31,0.45,-0.039,0.005,4300,73,75,80,BB,3.4,0.0015,-0.0014,,,,,,,,,
IE00B14X4M10,iShares $ Treasury Bond 1-3yr,IBTS.L,ETF,Bonds,US Short Government,ICE US Treasury 1-3Y,United States,Fixed Income,0.043,0.033,0.042,0.33,0.51,-0.157,0.0007,8800,80,65,90,AAA,1.9,0.0015,-0.0016,,,,,,,,,
IE00B579F325,iShares Physical Gold ETC,SGLN.L,ETC,Alternative,Gold,Gold Spot,Global,Commodities,0.132,0.128,0.132,0.54,0.7,-0.114,0.0012,18000,80,95,94,,,0.0016,-0.0025,,,,,,,,,
FR0013416716,Amundi Physical Gold,GLDA.PA,ETC,Alternative,Gold,Gold Spot,Global,Commodities,0.124,0.119,0.142,0.56,0.73,-0.131,0.0015,2600,78,94,85,,,0.0017,-0.0018,,,,,,,,,
ALTPE0000001,European Mid-Market PE Fund,PRIVATE_EQUITY,Private Equity,Alternative,Private Equity,Private Markets,Europe,Private Equity,,,,,,,0.02,850,88,93,20,,,,,0.142,1.58,0.62,2019,,,,,
ALTPE0000002,European Growth Equity Fund,PE_GROWTH_EU,Private Equity,Alternative,Private Equity,Private Markets,Europe,Private Equity,,,,,,,0.022,420,84,88,15,,,,,0.168,1.32,0.21,2021,,,,,
ALTPE0000003,US Buyout Opportunities Fund,PE_BUYOUT_US,Private Equity,Alternative,Private Equity,Private Markets,United States,Private Equity,,,,,,,0.025,1100,86,80,12,,,,,0.121,1.91,1.35,2016,,,,,
ALTSTRUCT001,Autocall Euro Stoxx 50 Demo,STRUCT_DEMO,Structured Product,Alternative,Structured Product,Euro Stoxx 50,Europe,Structured,,,,,,,0.01,250,74,68,55,,,,,,,,,,,0.08,0.6,Oui
ALTSTRUCT002,Autocall S&P 500 Worst-of Demo,STRUCT_SP500_WO,Structured Product,Alternative,Structured Product,S&P 500 / Euro Stoxx 50,Global,Structured,,,,,,,0.011,180,70,55,48,,,,,,,,,,,0.095,0.55,Oui
ALTSTRUCT003,Note à capital protégé CAC 40 Demo,STRUCT_CAC_CPN,Structured Product,Alternative,Structured Product,CAC 40,Europe,Structured,,,,,,,0.008,95,72,52,42,,,,,,,,,,,0.045,1.0,Non
ALTSCPI00001,European Diversified SCPI,SCPI_DEMO,SCPI,Real Estate,SCPI,Real Estate,Europe,Real Estate,,,,,,,0.012,3200,84,87,35,,,,,,,,,0.045,0.93,,,
ALTSCPI00002,SCPI Bureaux Paris Ile-de-France,SCPI_BUREAUX,SCPI,Real Estate,SCPI,Real Estate,Europe,Real Estate,,,,,,,0.0135,1800,80,62,28,,,,,,,,,0.041,0.9,,,
ALTSCPI00003,SCPI Diversifiée Europe,SCPI_DIVERSIFIEE,SCPI,Real Estate,SCPI,Real Estate,Europe,Real Estate,,,,,,,0.011,950,82,91,30,,,,,,,,,0.048,0.95,,,
LU1234567890,European Quality Equity Fund,EQEF,OPCVM,Equity,Europe Equity,STOXX Europe 600,Europe,Diversified,0.132,0.119,0.151,0.82,1.15,-0.174,0.012,1850,91,82,72,,,,,,,,,,,,,
LU2234567890,Euro Credit Opportunities,ECOF,OPCVM,Bonds,EUR Corporate Bond,Bloomberg Euro Aggregate Corporate,Europe,Fixed Income,0.064,0.052,0.061,0.88,1.21,-0.071,0.0095,2300,88,76,68,A-,3.8,,,,,,,,,,,
